Gen;Location;Block;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Sedimentation;Falling_number;Crude_protein
BRISONr_97;QLB;B1;77.00;41.54;340.56;1023.04;28.81;30.77;440.00;39.00;247.00;15.33
BRISONr_98;QLB;B1;70.00;28.35;187.68;829.28;30.68;35.00;340.00;53.00;374.00;14.85
BRISONr_99;QLB;B1;85.00;41.21;276.56;917.04;33.63;34.57;404.00;45.00;184.00;13.73
BRISONr_100;QLB;B1;77.00;47.59;257.36;927.60;25.69;28.30;604.00;49.00;258.00;16.18
BRISONr_101;QLB;B1;79.00;59.01;338.48;1057.60;32.48;32.83;496.00;57.00;262.00;17.15
BRISONr_102;QLB;B1;86.00;36.66;215.76;854.48;30.90;31.00;444.00;55.00;215.00;14.70
BRISONr_103;QLB;B1;73.00;50.45;269.60;908.64;26.34;27.97;568.00;55.00;117.00;16.72
BRISONr_104;QLB;B1;80.00;27.58;267.12;911.04;27.03;31.13;436.00;55.00;205.00;15.60
BRISONr_105;QLB;B1;72.00;48.47;315.68;908.64;29.76;28.33;552.00;51.00;292.00;15.60
BRISONr_106;QLB;B1;86.00;67.02;448.88;1223.92;31.76;35.30;684.00;27.00;210.00;12.50
BRISONr_107;QLB;B1;80.00;41.39;347.36;1120.64;33.69;36.03;480.00;44.00;294.00;14.70
BRISONr_108;QLB;B1;65.00;24.20;187.12;857.20;32.19;33.57;296.00;40.00;152.00;15.94
BRISONr_109;QLB;B1;80.00;50.64;302.00;986.96;28.44;29.30;596.00;53.00;359.00;15.15
BRISONr_110;QLB;B1;77.00;45.25;291.84;970.96;27.24;27.20;464.00;54.00;261.00;15.17
BRISONr_111;QLB;B1;68.00;39.32;383.84;999.04;25.80;25.77;512.00;56.00;385.00;15.58
BRISONr_112;QLB;B1;76.00;36.02;262.56;1010.40;29.90;34.67;604.00;56.00;343.00;15.30
BRISONr_113;QLB;B1;84.00;61.15;451.68;1261.28;27.98;30.57;508.00;52.00;417.00;15.16
BRISONr_114;QLB;B1;83.00;39.88;264.72;1077.92;24.83;26.80;636.00;41.00;312.00;15.47
BRISONr_115;QLB;B1;84.00;65.17;312.24;862.88;26.89;30.63;704.00;33.00;401.00;13.69
BRISONr_116;QLB;B1;85.00;58.15;299.60;1218.08;30.93;31.43;472.00;43.00;381.00;14.20
BRISONr_117;QLB;B1;76.00;40.47;346.16;1277.76;31.82;33.27;472.00;56.00;273.00;15.54
BRISONr_118;QLB;B1;84.00;53.10;422.80;1348.80;28.06;32.50;624.00;50.00;347.00;16.32
BRISONr_119;QLB;B1;84.00;54.55;288.56;857.44;25.86;24.83;632.00;50.00;456.00;14.67
BRISONr_120;QLB;B1;78.00;37.47;307.76;1176.40;28.32;31.67;460.00;54.00;229.00;16.21
BRISONr_121;QLB;B1;85.00;54.23;408.32;1216.64;29.67;31.23;564.00;57.00;215.00;15.52
BRISONr_122;QLB;B1;76.00;47.27;345.20;1150.72;29.24;29.80;584.00;52.00;365.00;16.68
BRISONr_123;QLB;B1;53.00;9.11;34.72;548.08;25.77;7.70;292.00;35.00;351.00;16.61
BRISONr_124;QLB;B1;62.00;52.31;333.68;1110.72;24.08;26.10;472.00;47.00;130.00;15.29
BRISONr_125;QLB;B1;70.00;40.70;245.76;1030.16;28.66;29.23;380.00;60.00;184.00;15.48
BRISONr_126;QLB;B1;84.00;63.58;548.96;1710.96;28.61;33.20;612.00;44.00;274.00;14.32
BRISONr_127;QLB;B1;81.00;40.59;377.60;1337.12;25.97;27.18;472.00;54.00;353.00;16.82
BRISONr_128;QLB;B1;85.00;54.50;392.72;1353.60;32.05;34.13;484.00;31.00;320.00;14.83
BRISONr_129;QLB;B1;74.00;48.80;429.44;1399.92;23.88;26.50;728.00;54.00;346.00;16.36
BRISONr_130;QLB;B1;80.00;42.46;336.08;1376.40;28.35;31.60;660.00;42.00;280.00;15.66
BRISONr_131;QLB;B1;71.00;31.27;160.32;674.96;30.27;33.60;444.00;42.00;220.00;16.37
BRISONr_132;QLB;B1;79.00;54.85;357.36;1187.84;25.28;25.97;420.00;50.00;450.00;15.59
BRISONr_133;QLB;B1;73.00;26.64;264.96;926.40;22.99;27.13;528.00;53.00;291.00;16.49
